fold,val_std,num_bases,full_val,num_workers,lr,gd_type,params,batch_size,test_std,mol_emb_dim,val_mean,eval_batch_size,exp_dir,num_layers,data_path,emb_dim,psearch,test_mean,l2,metric,full_test,val_method,train_data_set,gd_deg,num_epochs,JK,dropout,neg_sample,reach_dist
10,0.024118819447136022,,"{'val_loss': [0.17425712943077087, 0.26528939604759216, 0.18125535547733307, 0.19318664073944092, 0.0722661241889, 0.11564046144485474, 0.04642168805003166, 0.2220691442489624, 0.2840248644351959, 0.347140371799469], 'acc': [0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0, 1.0, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315]}",20,0.001,VerGD,"[['num_layers', 5], ['gd_deg', False]]",32,0.08305123072662893,32,0.9631578947368421,32,./saved_exp/2023-10-25 22:16:06.739626,5,./data,32,True,0.8894736842105264,0,acc,"{'test_loss': [0.5080505013465881, 0.15401825308799744, 0.655871570110321, 0.43171653151512146, 0.14753279089927673, 0.3950721323490143, 0.1665361374616623, 0.3088993430137634, 0.2105099856853485, 0.29429107904434204], 'acc': [0.8421052631578947, 0.9473684210526315, 0.7894736842105263, 0.7894736842105263, 0.9473684210526315, 0.7894736842105263, 0.9473684210526315, 0.8421052631578947, 1.0, 1.0]}",,MUTAG,True,100,last,0,,3
10,0.0,4,"{'val_loss': 0.38337305188179016, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.8964241676942046, 'mrr': 0.9482120838471023}",20,0.0001,VerGD,"[['num_layers', 2]]",64,0.0,32,1.0,64,./saved_exp/2023-10-25 18:31:56.943352,2,./data,32,True,1.0,0,h10,"{'val_loss': 0.3944947421550751, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.896168108776267, 'mrr': 0.9480840543881335}",ind,nell_v3,False,100,last,0,1,3
10,0.0,4,"{'val_loss': 0.3608236312866211, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.8588807785888077, 'mrr': 0.9294403892944039}",20,0.0001,VerGD,"[['num_layers', 2]]",64,0.0,32,1.0,64,./saved_exp/2023-10-25 18:30:48.062314,2,./data,32,True,1.0,0,h10,"{'val_loss': 0.3749823570251465, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.8798185941043084, 'mrr': 0.9399092970521542}",ind,WN18RR_v2,False,100,last,0,1,3
10,0.0,,"{'val_loss': [0.06828784942626953, 0.05090803653001785, 0.01663559302687645, 0.03359557315707207, 0.0709826648235321, 0.052123233675956726, 0.03535105288028717, 0.017636489123106003, 0.029868241399526596, 0.026705510914325714], 'acc': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",20,0.0001,VerGD,"[['num_layers', 3], ['gd_deg', True]]",64,0.0,32,1.0,64,./saved_exp/2023-10-14 07:20:12.709846,4,./data,32,True,1.0,0,acc,"{'test_loss': [0.05698256939649582, 0.04982006549835205, 0.016727782785892487, 0.032967161387205124, 0.05397863686084747, 0.04540450870990753, 0.03727518022060394, 0.011051305569708347, 0.020174948498606682, 0.024266667664051056], 'acc': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",,exp,False,100,last,0,,3
10,0.009882969313297109,,"{'val_loss': [0.4821716845035553, 0.4923500716686249, 0.5589231252670288, 0.47223860025405884, 0.4798678457736969, 0.49041855335235596, 0.5081014037132263, 0.48826736211776733, 0.4647362232208252, 0.5212068557739258], 'acc': [0.847457627118644, 0.847457627118644, 0.8389830508474576, 0.8305084745762712, 0.8559322033898306, 0.8389830508474576, 0.8220338983050848, 0.847457627118644, 0.847457627118644, 0.8305084745762712]}",20,0.001,VerGD,"[['num_layers', 2], ['gd_deg', True]]",32,0.027065626140120893,32,0.840677966101695,32,./saved_exp/2023-10-25 21:58:12.422432,5,./data,32,True,0.7542372881355932,0,acc,"{'test_loss': [0.45985835790634155, 0.5366867184638977, 0.6919047236442566, 0.49985983967781067, 0.49172133207321167, 0.5777254104614258, 0.5130685567855835, 0.42914366722106934, 0.6558340191841125, 0.5366971492767334], 'acc': [0.7796610169491526, 0.7796610169491526, 0.7288135593220338, 0.7542372881355932, 0.7542372881355932, 0.7203389830508474, 0.7796610169491526, 0.7966101694915254, 0.7288135593220338, 0.7203389830508474]}",,DD,True,100,last,0,,3
10,0.0,4,"{'val_loss': 0.34600186347961426, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.8637469586374696, 'mrr': 0.9318734793187348}",20,0.0001,HorGD,"[['num_layers', 2]]",64,0.0,32,1.0,64,./saved_exp/2023-10-25 17:40:50.999827,2,./data,32,True,1.0,0,h10,"{'val_loss': 0.37851396203041077, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.8594104308390023, 'mrr': 0.9297052154195011}",ind,WN18RR_v2,False,100,last,0,1,3
10,0.0,,"{'val_loss': [0.016975058242678642, 0.023437561467289925, 0.048805058002471924, 0.037277474999427795, 0.027874212712049484, 0.059787943959236145, 0.05487167090177536, 0.05475179851055145, 0.041076090186834335, 0.017082542181015015], 'acc': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",20,0.0001,HorGD,"[['num_layers', 3]]",64,0.007637626158259738,32,1.0,64,./saved_exp/2023-10-13 21:51:15.547203,4,./data,32,True,0.9966666666666667,0,acc,"{'test_loss': [0.017898622900247574, 0.020683269947767258, 0.04411514103412628, 0.04813661426305771, 0.024572283029556274, 0.05301171913743019, 0.0959692969918251, 0.0522192120552063, 0.039854422211647034, 0.017943479120731354], 'acc': [1.0, 1.0, 1.0, 0.9916666666666667, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0]}",,exp,False,100,last,0,,3
10,0.0,4,"{'val_loss': 0.604093074798584, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.8366013071895425, 'mrr': 0.9183006535947712}",20,0.0001,HorGD,"[['num_layers', 2]]",64,0.0,32,1.0,64,./saved_exp/2023-10-25 17:40:51.234890,2,./data,32,True,1.0,0,h10,"{'val_loss': 0.5571151971817017, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.8466386554621849, 'mrr': 0.9233193277310925}",ind,nell_v2,False,100,last,0,1,3
10,0.0,4,"{'val_loss': 0.6104112863540649, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.7365819209039548, 'mrr': 0.8682909604519774}",20,0.0001,HorGD,"[['num_layers', 2]]",64,0.0,32,1.0,64,./saved_exp/2023-10-24 14:35:09.320424,2,./data,32,True,1.0,0,h10,"{'val_loss': 0.6012147665023804, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.723314606741573, 'mrr': 0.8616573033707865}",ind,fb237_v4,False,100,last,0,1,3
10,0.0,4,"{'val_loss': 0.5306877493858337, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.767590618336887, 'mrr': 0.8837953091684435}",20,0.0001,VerGD,"[['num_layers', 2]]",64,0.0,32,1.0,64,./saved_exp/2023-10-25 18:20:08.783324,2,./data,32,True,1.0,0,h10,"{'val_loss': 0.5314916372299194, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.7761506276150628, 'mrr': 0.8880753138075314}",ind,fb237_v2,True,100,last,0,1,3
