full_test,params,train_data_set,psearch,test_mean,gd_type,reach_dist,emb_dim,num_bases,lr,num_workers,val_mean,val_std,val_method,JK,dropout,l2,gd_deg,fold,eval_batch_size,batch_size,exp_dir,neg_sample,num_epochs,full_val,mol_emb_dim,metric,test_std,num_layers,data_path
"{'test_loss': [0.014736917801201344, 0.06995351612567902, 0.03919830545783043, 0.06741221249103546, 0.07691216468811035, 0.03694792836904526, 0.052251603454351425, 0.026860613375902176, 0.22360964119434357, 0.06996655464172363], 'acc': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}","[['num_layers', 4], ['gd_deg', True]]",csl,True,1.0,VerGD,3,32,,0.001,20,1.0,0.0,,last,0,0,False,10,16,16,./saved_exp/2023-10-14 01:11:38.025081,,100,"{'val_loss': [0.014736917801201344, 0.06995351612567902, 0.03919830545783043, 0.06741221249103546, 0.07691217958927155, 0.03694792836904526, 0.052250780165195465, 0.026860613375902176, 0.22360964119434357, 0.06996655464172363], 'acc': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",32,acc,0.0,4,./data
"{'test_loss': [0.527565062046051, 0.5808213949203491, 0.579544186592102, 0.5892281532287598, 0.5454041361808777, 0.5584236979484558, 0.5648684501647949, 0.5781930685043335, 0.643628716468811, 0.5868484377861023], 'acc': [0.7589285714285714, 0.75, 0.7678571428571429, 0.7589285714285714, 0.7678571428571429, 0.7678571428571429, 0.7410714285714286, 0.7678571428571429, 0.7410714285714286, 0.7410714285714286]}","[['num_layers', 2], ['gd_deg', True]]",PROTEINS,True,0.7562500000000001,VerGD,3,32,,0.001,20,0.7723214285714286,0.01453466124651759,,last,0,0,True,10,32,32,./saved_exp/2023-10-25 22:19:00.136608,,100,"{'val_loss': [0.5859174728393555, 0.5966413617134094, 0.5900415182113647, 0.6206638216972351, 0.565237820148468, 0.5849934220314026, 0.5778496265411377, 0.558178722858429, 0.6509063243865967, 0.6249361038208008], 'acc': [0.7767857142857143, 0.7946428571428571, 0.7857142857142857, 0.7678571428571429, 0.7589285714285714, 0.7857142857142857, 0.7857142857142857, 0.7589285714285714, 0.7589285714285714, 0.75]}",32,acc,0.011329087089687077,5,./data
"{'test_loss': 0.05270499736070633, 'auc': 0.8297073160771106, 'apr': 0.1627490327745319}","[['num_layers', 2]]",ogbg-molpcba,True,0.1627490327745319,VerGD,3,32,,0.0001,20,0.168614574748853,0.0,,last,0,0,True,10,64,64,./saved_exp/2023-10-26 15:53:44.053695,,100,"{'val_loss': 0.0503200963139534, 'auc': 0.8339062407220257, 'apr': 0.168614574748853}",32,apr,0.0,2,./data
"{'val_loss': 0.09273179620504379, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7109826589595376, 'h3': 0.4982658959537572, 'h1': 0.3838150289017341, 'mrr': 0.48247255733090577}","[['num_layers', 3]]",fb237_v3,True,0.7109826589595376,VerGD,3,32,4,0.0001,20,0.6766743648960739,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-26 13:00:48.502452,50,100,"{'val_loss': 0.09485107660293579, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.6766743648960739, 'h3': 0.45496535796766746, 'h1': 0.33140877598152424, 'mrr': 0.4376839507124338}",32,h10,0.0,2,./data
"{'test_loss': [0.04150359332561493, 0.0646764263510704, 0.059009432792663574, 0.03149481117725372, 0.0385478176176548, 0.04247851297259331, 0.0197104774415493, 0.01186913251876831, 0.021023739129304886, 0.059568651020526886], 'acc': [1.0, 0.9833333333333333, 0.9916666666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}","[['num_layers', 3]]",exp,False,0.9974999999999999,HorGD,3,32,,0.0001,20,1.0,0.0,,last,0,0,False,10,64,64,./saved_exp/2023-10-24 14:38:27.954591,,100,"{'val_loss': [0.04409823566675186, 0.06171756610274315, 0.0596894696354866, 0.04616592824459076, 0.04603082314133644, 0.04348696023225784, 0.020218007266521454, 0.014886218123137951, 0.026078756898641586, 0.0685282051563263], 'acc': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",32,acc,0.005335936864527384,3,./data
"{'val_loss': 0.5835304260253906, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.7024390243902439, 'mrr': 0.8512195121951219}","[['num_layers', 2]]",fb237_v1,True,1.0,VerGD,3,32,4,0.0001,20,1.0,0.0,ind,last,0,0,True,10,64,64,./saved_exp/2023-10-25 18:20:08.714980,1,100,"{'val_loss': 0.543027937412262, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.7669902912621359, 'mrr': 0.883495145631068}",32,h10,0.0,2,./data
"{'test_loss': 0.12344668805599213, 'auc': 0.7445141852874718, 'apr': 0.2432552236022843}","[['num_layers', 2]]",ogbg-molhiv,True,0.7445141852874718,VerGD,3,32,,0.0001,20,0.8007605820105821,0.0,,last,0,0,True,10,64,64,./saved_exp/2023-10-26 16:38:58.762854,,100,"{'val_loss': 0.09470774233341217, 'auc': 0.8007605820105821, 'apr': 0.19470572712008175}",32,auc,0.0,2,./data
"{'test_loss': [0.5080505013465881, 0.15401825308799744, 0.655871570110321, 0.43171653151512146, 0.14753279089927673, 0.3950721323490143, 0.1665361374616623, 0.3088993430137634, 0.2105099856853485, 0.29429107904434204], 'acc': [0.8421052631578947, 0.9473684210526315, 0.7894736842105263, 0.7894736842105263, 0.9473684210526315, 0.7894736842105263, 0.9473684210526315, 0.8421052631578947, 1.0, 1.0]}","[['num_layers', 5], ['gd_deg', False]]",MUTAG,True,0.8894736842105264,VerGD,3,32,,0.001,20,0.9631578947368421,0.024118819447136022,,last,0,0,True,10,32,32,./saved_exp/2023-10-25 22:16:06.739626,,100,"{'val_loss': [0.17425712943077087, 0.26528939604759216, 0.18125535547733307, 0.19318664073944092, 0.0722661241889, 0.11564046144485474, 0.04642168805003166, 0.2220691442489624, 0.2840248644351959, 0.347140371799469], 'acc': [0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0, 1.0, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315]}",32,acc,0.08305123072662893,5,./data
"{'val_loss': 0.3944947421550751, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.896168108776267, 'mrr': 0.9480840543881335}","[['num_layers', 2]]",nell_v3,True,1.0,VerGD,3,32,4,0.0001,20,1.0,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-25 18:31:56.943352,1,100,"{'val_loss': 0.38337305188179016, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.8964241676942046, 'mrr': 0.9482120838471023}",32,h10,0.0,2,./data
"{'val_loss': 0.3749823570251465, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.8798185941043084, 'mrr': 0.9399092970521542}","[['num_layers', 2]]",WN18RR_v2,True,1.0,VerGD,3,32,4,0.0001,20,1.0,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-25 18:30:48.062314,1,100,"{'val_loss': 0.3608236312866211, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.8588807785888077, 'mrr': 0.9294403892944039}",32,h10,0.0,2,./data
